Municipi,Comarca,Altitud (m),Superfície (km²),Població
Sant Feliu de Pallerols,Garrotxa,473,35,1495
Sant Feliu Sasserra,Bages,617,22,611
Sant Ferriol,Garrotxa,146,42,256
Sant Fost de Campsentelles,Vallès Oriental,112,13,9064
Sant Fruitós de Bages,Bages,247,22,9025
Sant Gregori,Gironès,112,49,4085
Sant Guim de Freixenet,Segarra,738,25,1120
Sant Guim de la Plana,Segarra,556,13,182
Sant Hilari Sacalm,Selva,803,83,5836
Sant Hipòlit de Voltregà,Osona,536,1,3644
Sant Iscle de Vallalta,Maresme,129,18,1433
Sant Jaume d'Enveja,Montsià,7,61,3669
Sant Jaume de Frontanyà,Berguedà,1072,21,31
Sant Jaume de Llierca,Garrotxa,203,7,842
Sant Jaume dels Domenys,Baix Penedès,213,25,2695
Sant Joan de les Abadesses,Ripollès,773,54,3274
Sant Joan de Mollet,Gironès,54,3,515
Sant Joan de Vilatorrada,Bages,277,16,10820
Sant Joan Despí,Baix Llobregat,10,6,34039
Sant Joan les Fonts,Garrotxa,342,32,3054
Sant Jordi Desvalls,Gironès,57,12,830
Sant Julià de Cerdanyola,Berguedà,954,12,241
Sant Julià de Ramis,Gironès,128,19,3623
Sant Julià de Vilatorta,Osona,600,16,3193
Sant Julià del Llor i Bonmatí,Selva,160,10,1347
Sant Just Desvern,Baix Llobregat,122,8,19806
Sant Llorenç d'Hortons,Alt Penedès,196,20,2503
Sant Llorenç de la Muga,Alt Empordà,173,32,267
Sant Llorenç de Morunys,Solsonès,925,4,0
Sant Llorenç Savall,Vallès Occidental,466,41,2524
Sant Martí d'Albars,Osona,629,15,119
Sant Martí de Centelles,Osona,404,26,1232
Sant Martí de Llémena,Gironès,256,43,679
Sant Martí de Riucorb,Urgell,409,35,646
Sant Martí de Tous,Anoia,465,39,1243
Sant Martí Sarroca,Alt Penedès,291,35,3313
Sant Martí Sesgueioles,Anoia,646,4,361
Sant Martí Vell,Gironès,65,18,261
Sant Mateu de Bages,Bages,569,103,628
Sant Miquel de Campmajor,Pla de l'Estany,217,33,239
Sant Miquel de Fluvià,Alt Empordà,28,4,808
Sant Mori,Alt Empordà,51,8,159
Sant Pau de Segúries,Ripollès,867,9,732
Sant Pere de Ribes,Garraf,44,41,31688
Sant Pere de Riudebitlles,Alt Penedès,246,5,2404
Sant Pere de Torelló,Osona,621,55,2514
Sant Pere de Vilamajor,Vallès Oriental,305,35,4815
Sant Pere Pescador,Alt Empordà,5,19,2079
Sant Pere Sallavinera,Anoia,588,22,167
Sant Pol de Mar,Maresme,15,8,5680
Sant Quintí de Mediona,Alt Penedès,326,14,2393
Sant Quirze de Besora,Osona,587,8,2142
Sant Quirze del Vallès,Vallès Occidental,188,14,20180
Sant Quirze Safaja,Moianès,627,26,672
Sant Ramon,Segarra,641,19,480
Sant Sadurní d'Anoia,Alt Penedès,162,19,12863
Sant Sadurní d'Osormort,Osona,531,31,90
Sant Salvador de Guardiola,Bages,334,37,3351
Sant Vicenç de Castellet,Bages,176,17,9949
Sant Vicenç de Montalt,Maresme,143,8,6661
Sant Vicenç de Torelló,Osona,555,7,2077
Sant Vicenç dels Horts,Baix Llobregat,22,9,28079
Santa Bàrbara,Montsià,79,28,3791
Santa Cecília de Voltregà,Osona,519,9,185
Santa Coloma de Cervelló,Baix Llobregat,73,8,8309
Santa Coloma de Farners,Selva,142,71,13557
Santa Coloma de Gramenet,Barcelonès,56,7,117981
Santa Coloma de Queralt,Conca de Barberà,674,34,2755
Santa Cristina d'Aro,Baix Empordà,30,68,5585
Santa Eugènia de Berga,Osona,538,7,2256
Santa Eulàlia de Riuprimer,Osona,568,14,1401
Santa Eulàlia de Ronçana,Vallès Oriental,236,14,7740
Santa Fe del Penedès,Alt Penedès,240,3,370
Santa Llogaia d'Àlguema,Alt Empordà,42,2,379
Santa Margarida de Montbui,Anoia,316,28,10294
Santa Margarida i els Monjos,Alt Penedès,161,17,7624
Santa Maria d'Oló,Moianès,542,66,1063
Santa Maria de Besora,Osona,866,25,159
Santa Maria de Martorelles,Vallès Oriental,181,5,889
Santa Maria de Merlès,Berguedà,532,52,184
Santa Maria de Miralles,Anoia,543,25,138
Santa Maria de Palautordera,Vallès Oriental,208,17,9777
Santa Oliva,Baix Penedès,101,10,3560
Santa Pau,Garrotxa,496,49,1605
Santa Perpètua de Mogoda,Vallès Occidental,74,16,25930
Santa Susanna,Maresme,10,13,3755
Santpedor,Bages,336,17,7612
Sarral,Conca de Barberà,467,52,1578
Sarrià de Ter,Gironès,70,4,5294
Sarroca de Bellera,Pallars Jussà,1002,88,113
Sarroca de Lleida,Segrià,201,42,365
"Saus, Camallera i Llampaies",Alt Empordà,86,11,865
Savallà del Comtat,Conca de Barberà,825,15,52
Secuita,Tarragonès,169,18,1765
Selva de Mar,Alt Empordà,48,7,220
Selva del Camp,Baix Camp,246,35,5696
Senan,Conca de Barberà,652,12,44
Sénia,Montsià,369,108,5475
Senterada,Pallars Jussà,729,35,161
Sentiu de Sió,Noguera,281,30,417
Sentmenat,Vallès Occidental,207,29,9417
Serinyà,Pla de l'Estany,188,17,1153
Seròs,Segrià,103,86,1890
Serra de Daró,Baix Empordà,15,8,233
Setcases,Ripollès,1265,49,
Seu d'Urgell,Alt Urgell,691,16,12261
Seva,Osona,663,30,3736
Sidamon,Pla d'Urgell,232,8,759
Sils,Selva,76,30,6507
Sitges,Garraf,10,44,31222
Siurana,Alt Empordà,33,11,178
Sobremunt,Osona,881,14,83
Soleràs,Garrigues,381,12,330
Solivella,Conca de Barberà,489,21,628
Solsona,Solsonès,664,18,9131
Sora,Osona,716,32,219
Soriguera,Pallars Sobirà,1258,106,429
Sort,Pallars Sobirà,692,105,2192
Soses,Segrià,118,30,1784
Subirats,Alt Penedès,243,56,3241
Sudanell,Segrià,152,9,873
Sunyer,Segrià,211,13,332
Súria,Bages,326,24,5921
Susqueda,Selva,816,51,96
Tagamanent,Vallès Oriental,354,43,340
Talamanca,Bages,552,29,219
Talarn,Pallars Jussà,572,28,562
Talavera,Segarra,791,30,291
Tallada d'Empordà,Baix Empordà,20,17,480
Taradell,Osona,623,27,6699
Tarragona,Tarragonès,68,58,134883
Tàrrega,Urgell,373,88,17810
Tarrés,Garrigues,578,13,105
Tarroja de Segarra,Segarra,460,8,175
Tavèrnoles,Osona,537,19,329
Tavertet,Osona,869,33,116
Teià,Maresme,128,7,6635
Térmens,Noguera,208,28,1363
Terrades,Alt Empordà,228,21,345
Terrassa,Vallès Occidental,277,70,224114
Tiana,Maresme,136,8,9110
Tírvia,Pallars Sobirà,991,9,132
Tiurana,Noguera,387,16,71
Tivenys,Baix Ebre,13,54,923
Tivissa,Ribera d'Ebre,309,209,1643
Tona,Osona,596,17,8368
Torà,Segarra,448,93,1224
Tordera,Maresme,34,84,18022
Torelló,Osona,508,14,14726
Torms,Garrigues,476,14,149
Tornabous,Urgell,289,24,847
Torre de Cabdella,Pallars Jussà,1075,165,764
Torre de Claramunt,Anoia,363,15,3966
Torre de Fontaubella,Priorat,369,7,125
Torre de l'Espanyol,Ribera d'Ebre,164,28,598
Torrebesses,Segrià,287,28,
Torredembarra,Tarragonès,15,9,17256
Torrefarrera,Segrià,214,24,4730
Torrefeta i Florejacs,Segarra,475,89,621
Torregrossa,Pla d'Urgell,232,41,2155
Torrelameu,Noguera,201,11,765
Torrelavit,Alt Penedès,202,24,1457
Torrelles de Foix,Alt Penedès,367,37,2557
Torrelles de Llobregat,Baix Llobregat,126,14,6186
Torrent,Baix Empordà,44,8,166
Torres de Segre,Segrià,119,51,2248
Torre-serona,Segrià,197,6,387
Torroella de Fluvià,Alt Empordà,9,17,741
Torroella de Montgrí,Baix Empordà,31,66,12061
Torroja del Priorat,Priorat,332,13,141
Tortellà,Garrotxa,276,11,823
Tortosa,Baix Ebre,12,219,33890
Toses,Ripollès,1444,58,185
Tossa de Mar,Selva,5,39,5956
Tremp,Pallars Jussà,468,303,5847
Ullà,Baix Empordà,21,7,1195
Ullastrell,Vallès Occidental,342,7,2139
Ullastret,Baix Empordà,49,11,250
Ulldecona,Montsià,133,127,6241
Ulldemolins,Priorat,650,38,409
Ultramort,Baix Empordà,30,4,224
Urús,Cerdanya,1263,17,214
Vacarisses,Vallès Occidental,382,41,7325
Vajol,Alt Empordà,546,5,87
Vall d'en Bas,Garrotxa,510,91,3143
Vall de Bianya,Garrotxa,367,94,1345
Vall de Boí,Alta Ribagorça,1111,220,1090
Vall de Cardós,Pallars Sobirà,898,56,386
Vallbona d'Anoia,Anoia,289,7,1387
Vallbona de les Monges,Urgell,481,34,227
Vallcebre,Berguedà,1123,28,268
Vallclara,Conca de Barberà,625,14,88
Vallfogona de Balaguer,Noguera,235,27,1935
Vallfogona de Ripollès,Ripollès,956,39,222
Vallfogona de Riucorb,Conca de Barberà,573,11,89
Vallgorguina,Vallès Oriental,222,22,3144
Vallirana,Baix Llobregat,177,24,15658
Vall-llobrega,Baix Empordà,49,6,926
Vallmoll,Alt Camp,161,17,1882
Vallromanes,Vallès Oriental,153,11,2632
Valls,Alt Camp,215,55,24727
Valls d'Aguilar,Alt Urgell,669,124,274
Valls de Valira,Alt Urgell,740,171,794
Vandellòs i l'Hospitalet de l'Infant,Baix Camp,281,103,6750
Vansa i Fórnols,Alt Urgell,989,106,166
Veciana,Anoia,564,39,182
Vendrell,Baix Penedès,49,37,39072
Ventalló,Alt Empordà,28,25,911
Verdú,Urgell,434,36,851
Verges,Baix Empordà,23,10,1162
Vespella de Gaià,Tarragonès,191,18,496
Vic,Osona,484,31,47545
Vidrà,Osona,982,34,181
Vidreres,Selva,93,48,8167
Vielha e Mijaran,Val d'Aran,974,212,5581
Vilabella,Alt Camp,254,18,711
Vilabertran,Alt Empordà,19,2,991
Vilablareix,Gironès,99,6,3396
Vilada,Berguedà,757,22,439
Viladamat,Alt Empordà,13,12,479
Viladasens,Gironès,96,16,216
Viladecans,Baix Llobregat,18,20,66720
Viladecavalls,Vallès Occidental,274,20,7644
Vilademuls,Pla de l'Estany,120,62,840
Viladrau,Osona,821,51,1103
Vilafant,Alt Empordà,54,8,5562
Vilafranca del Penedès,Alt Penedès,223,20,56
Vilagrassa,Urgell,355,20,605
Vilajuïga,Alt Empordà,31,13,1142
Vilalba dels Arcs,Terra Alta,450,67,634
Vilalba Sasserra,Vallès Oriental,200,6,748
Vilaller,Alta Ribagorça,981,59,532
Vilallonga de Ter,Ripollès,1067,64,410
Vilallonga del Camp,Tarragonès,124,9,2398
Vilamacolum,Alt Empordà,5,6,386
Vilamalla,Alt Empordà,45,9,1166
Vilamaniscle,Alt Empordà,169,6,204
Vilamòs,Val d'Aran,1255,15,172
Vilanant,Alt Empordà,98,17,401
Vilanova d'Escornalbou,Baix Camp,226,17,594
Vilanova de Bellpuig,Pla d'Urgell,290,14,1179
Vilanova de l'Aguda,Noguera,409,54,
Vilanova de la Barca,Segrià,195,22,1110
Vilanova de Meià,Noguera,633,105,413
Vilanova de Prades,Conca de Barberà,893,22,107
Vilanova de Sau,Osona,558,59,320
Vilanova de Segrià,Segrià,255,9,1021
Vilanova del Camí,Anoia,302,10,12699
Vilanova del Vallès,Vallès Oriental,91,15,5557
Vilanova i la Geltrú,Garraf,22,34,68152
Vilaplana,Baix Camp,366,23,540
Vila-rodona,Alt Camp,259,33,1341
Vila-sacra,Alt Empordà,16,6,785
Vila-sana,Pla d'Urgell,249,19,767
Vila-seca,Tarragonès,45,22,22681
Vilassar de Dalt,Maresme,142,9,9128
Vilassar de Mar,Maresme,10,4,21067
Vilaür,Alt Empordà,65,6,162
Vilaverd,Conca de Barberà,269,13,453
Vilella Alta,Priorat,327,5,136
Vilella Baixa,Priorat,218,6,202
Vilobí d'Onyar,Selva,122,33,3304
Vilobí del Penedès,Alt Penedès,286,9,1130
Vilopriu,Baix Empordà,82,16,223
Vilosell,Garrigues,665,19,195
Vimbodí i Poblet,Conca de Barberà,496,66,884
Vinaixa,Garrigues,479,38,465
Vinebre,Ribera d'Ebre,34,26,407
Vinyols i els Arcs,Baix Camp,95,11,2258
Viver i Serrateix,Berguedà,729,67,166
Xerta,Baix Ebre,12,32,1150
