Municipi,Comarca,Altitud (m),Superfície (km²),Població
Caldes de Malavella,Selva,84,57,8196
Caldes de Montbui,Vallès Oriental,203,38,17932
Calella,Maresme,5,8,19363
Calldetenes,Osona,489,6,2532
Callús,Bages,260,13,2122
Calonge de Segarra,Anoia,688,37,195
Calonge i Sant Antoni,Baix Empordà,22,34,11712
Camarasa,Noguera,321,157,786
Camarles,Baix Ebre,13,25,3309
Cambrils,Baix Camp,24,35,35675
Camós,Pla de l'Estany,168,16,715
Campdevànol,Ripollès,738,33,3217
Campelles,Ripollès,1303,19,162
Campins,Vallès Oriental,321,7,557
Campllong,Gironès,113,9,535
Camprodon,Ripollès,947,103,2469
Canejan,Val d'Aran,906,48,92
Canet d'Adri,Gironès,217,44,750
Canet de Mar,Maresme,15,6,14845
Canonja,Tarragonès,50,7,5873
Canovelles,Vallès Oriental,175,7,16761
Cànoves i Samalús,Vallès Oriental,346,29,3289
Cantallops,Alt Empordà,200,20,330
Canyelles,Garraf,142,14,7
Capafonts,Baix Camp,751,13,121
Capçanes,Priorat,223,23,407
Capellades,Anoia,317,3,5344
Capmany,Alt Empordà,107,26,672
Capolat,Berguedà,1279,34,89
Cardedeu,Vallès Oriental,193,12,18785
Cardona,Bages,507,67,4575
Carme,Anoia,351,12,754
Caseres,Terra Alta,324,43,233
Cassà de la Selva,Gironès,137,45,10680
Casserres,Berguedà,611,30,1646
Castell de l'Areny,Berguedà,954,24,69
Castell de Mur,Pallars Jussà,532,62,171
Castellar de la Ribera,Solsonès,657,60,135
Castellar de n'Hug,Berguedà,1395,47,176
Castellar del Riu,Berguedà,920,33,175
Castellar del Vallès,Vallès Occidental,331,45,24933
Castellbell i el Vilar,Bages,178,29,3889
Castellbisbal,Vallès Occidental,132,31,12735
Castellcir,Moianès,773,34,778
Castelldans,Garrigues,353,65,895
Castelldefels,Baix Llobregat,3,13,67307
Castellet i la Gornal,Alt Penedès,137,48,2474
Castellfollit de la Roca,Garrotxa,296,1,926
Castellfollit de Riubregós,Anoia,467,26,159
Castellfollit del Boix,Bages,700,59,460
Castellgalí,Bages,266,17,2236
Castellnou de Bages,Bages,469,29,1431
Castellnou de Seana,Pla d'Urgell,269,16,715
Castelló d'Empúries,Alt Empordà,17,42,11611
Castelló de Farfanya,Noguera,358,53,508
Castellolí,Anoia,415,25,636
Castell-Platja d'Aro,Baix Empordà,5,22,11757
Castellserà,Urgell,267,16,961
